State,Date,Hourly Demand Met (in MW)
Uttar Pradesh - 2018,12-Jan 1pm,12726.70
Uttar Pradesh - 2018,12-Jan 2pm,12927.06
Uttar Pradesh - 2018,12-Jan 3pm,13311.25
Uttar Pradesh - 2018,12-Jan 4pm,13381.23
Uttar Pradesh - 2018,12-Jan 5pm,13574.22
Uttar Pradesh - 2018,12-Jan 6pm,14459.91
Uttar Pradesh - 2018,12-Jan 7pm,13956.23
Uttar Pradesh - 2018,12-Jan 8pm,13115.50
Uttar Pradesh - 2018,12-Jan 9pm,13197.62
Uttar Pradesh - 2018,12-Jan 10pm,13160.35
Uttar Pradesh - 2018,12-Jan 11pm,13063.21
Uttar Pradesh - 2018,13-Jan 12am,12389.18
Uttar Pradesh - 2018,13-Jan 1am,11908.20
Uttar Pradesh - 2018,13-Jan 2am,11695.06
Uttar Pradesh - 2018,13-Jan 3am,11573.23
Uttar Pradesh - 2018,13-Jan 4am,11874.21
Uttar Pradesh - 2018,13-Jan 5am,12806.42
Uttar Pradesh - 2018,13-Jan 6am,13928.12
Uttar Pradesh - 2018,13-Jan 7am,14344.66
Uttar Pradesh - 2018,13-Jan 8am,13524.54
Uttar Pradesh - 2018,13-Jan 9am,13455.33
Uttar Pradesh - 2018,13-Jan 10am,13501.52
Uttar Pradesh - 2018,13-Jan 11am,13511.68
Uttar Pradesh - 2018,13-Jan 12pm,13353.01
Uttar Pradesh - 2018,13-Jan 1pm,13243.41
Uttar Pradesh - 2018,13-Jan 2pm,13549.46
Uttar Pradesh - 2018,13-Jan 3pm,13353.30
Uttar Pradesh - 2018,13-Jan 4pm,13546.64
Uttar Pradesh - 2018,13-Jan 5pm,13966.10
Uttar Pradesh - 2018,13-Jan 6pm,14614.85
Uttar Pradesh - 2018,13-Jan 7pm,13932.94
Uttar Pradesh - 2018,13-Jan 8pm,13004.70
Uttar Pradesh - 2018,13-Jan 9pm,13121.29
Uttar Pradesh - 2018,13-Jan 10pm,13161.54
Uttar Pradesh - 2018,13-Jan 11pm,12848.87
Uttar Pradesh - 2018,14-Jan 12am,12186.21
Uttar Pradesh - 2018,14-Jan 1am,11703.37
Uttar Pradesh - 2018,14-Jan 2am,11480.76
Uttar Pradesh - 2018,14-Jan 3am,11388.89
Uttar Pradesh - 2018,14-Jan 4am,11755.89
Uttar Pradesh - 2018,14-Jan 5am,12739.88
Uttar Pradesh - 2018,14-Jan 6am,14049.89
Uttar Pradesh - 2018,14-Jan 7am,14580.45
Uttar Pradesh - 2018,14-Jan 8am,13938.40
Uttar Pradesh - 2018,14-Jan 9am,13409.77
Uttar Pradesh - 2018,14-Jan 10am,13714.45
Uttar Pradesh - 2018,14-Jan 11am,13333.97
Uttar Pradesh - 2018,14-Jan 12pm,13206.58
Uttar Pradesh - 2018,14-Jan 1pm,12684.35
Uttar Pradesh - 2018,14-Jan 2pm,12167.36
Uttar Pradesh - 2018,14-Jan 3pm,12683.99
Uttar Pradesh - 2018,14-Jan 4pm,12943.41
Uttar Pradesh - 2018,14-Jan 5pm,12875.44
Uttar Pradesh - 2018,14-Jan 6pm,13600.15
Uttar Pradesh - 2018,14-Jan 7pm,13495.99
Uttar Pradesh - 2018,14-Jan 8pm,12778.08
Uttar Pradesh - 2018,14-Jan 9pm,12679.40
Uttar Pradesh - 2018,14-Jan 10pm,12415.56
Uttar Pradesh - 2018,14-Jan 11pm,12235.43
Uttar Pradesh - 2018,15-Jan 12am,11673.32
Uttar Pradesh - 2018,15-Jan 1am,11223.42
Uttar Pradesh - 2018,15-Jan 2am,11038.13
Uttar Pradesh - 2018,15-Jan 3am,11000.71
Uttar Pradesh - 2018,15-Jan 4am,11290.76
Uttar Pradesh - 2018,15-Jan 5am,12355.25
Uttar Pradesh - 2018,15-Jan 6am,13935.25
Uttar Pradesh - 2018,15-Jan 7am,14757.58
Uttar Pradesh - 2018,15-Jan 8am,14102.92
Uttar Pradesh - 2018,15-Jan 9am,14141.28
Uttar Pradesh - 2018,15-Jan 10am,13951.73
Uttar Pradesh - 2018,15-Jan 11am,13445.22
Uttar Pradesh - 2018,15-Jan 12pm,12389.21
Uttar Pradesh - 2018,15-Jan 1pm,11925.64
Uttar Pradesh - 2018,15-Jan 2pm,12320.52
Uttar Pradesh - 2018,15-Jan 3pm,12339.09
Uttar Pradesh - 2018,15-Jan 4pm,12631.94
Uttar Pradesh - 2018,15-Jan 5pm,12969.67
Uttar Pradesh - 2018,15-Jan 6pm,13696.25
Uttar Pradesh - 2018,15-Jan 7pm,13655.93
Uttar Pradesh - 2018,15-Jan 8pm,13002.04
Uttar Pradesh - 2018,15-Jan 9pm,12870.80
Uttar Pradesh - 2018,15-Jan 10pm,12803.24
Uttar Pradesh - 2018,15-Jan 11pm,12559.82
Uttar Pradesh - 2018,16-Jan 12am,12150.46
Uttar Pradesh - 2018,16-Jan 1am,11691.48
Uttar Pradesh - 2018,16-Jan 2am,11396.77
Uttar Pradesh - 2018,16-Jan 3am,11364.88
Uttar Pradesh - 2018,16-Jan 4am,11647.11
Uttar Pradesh - 2018,16-Jan 5am,12651.98
Uttar Pradesh - 2018,16-Jan 6am,13582.97
Uttar Pradesh - 2018,16-Jan 7am,14163.72
Uttar Pradesh - 2018,16-Jan 8am,13542.18
Uttar Pradesh - 2018,16-Jan 9am,13596.06
Uttar Pradesh - 2018,16-Jan 10am,13626.14
Uttar Pradesh - 2018,16-Jan 11am,13249.49
Uttar Pradesh - 2018,16-Jan 12pm,13062.57
Uttar Pradesh - 2018,16-Jan 1pm,12820.20
Uttar Pradesh - 2018,16-Jan 2pm,13158.55
Uttar Pradesh - 2018,16-Jan 3pm,13325.65
Uttar Pradesh - 2018,16-Jan 4pm,13340.02
Uttar Pradesh - 2018,16-Jan 5pm,13620.78
Uttar Pradesh - 2018,16-Jan 6pm,14371.73
Uttar Pradesh - 2018,16-Jan 7pm,13998.69
Uttar Pradesh - 2018,16-Jan 8pm,13225.97
Uttar Pradesh - 2018,16-Jan 9pm,13236.02
Uttar Pradesh - 2018,16-Jan 10pm,13202.48
Uttar Pradesh - 2018,16-Jan 11pm,12901.23
Uttar Pradesh - 2018,17-Jan 12am,12179.73
Uttar Pradesh - 2018,17-Jan 1am,11715.01
Uttar Pradesh - 2018,17-Jan 2am,11353.38
Uttar Pradesh - 2018,17-Jan 3am,11234.61
Uttar Pradesh - 2018,17-Jan 4am,11480.07
Uttar Pradesh - 2018,17-Jan 5am,12426.76
Uttar Pradesh - 2018,17-Jan 6am,13846.89
Uttar Pradesh - 2018,17-Jan 7am,14451.19
Uttar Pradesh - 2018,17-Jan 8am,13964.88
Uttar Pradesh - 2018,17-Jan 9am,13748.48
Uttar Pradesh - 2018,17-Jan 10am,13834.95
Uttar Pradesh - 2018,17-Jan 11am,13348.62
Uttar Pradesh - 2018,17-Jan 12pm,13026.15
Uttar Pradesh - 2018,17-Jan 1pm,12908.77
Uttar Pradesh - 2018,17-Jan 2pm,13014.18
Uttar Pradesh - 2018,17-Jan 3pm,13333.71
Uttar Pradesh - 2018,17-Jan 4pm,13230.29
Uttar Pradesh - 2018,17-Jan 5pm,13991.64
Uttar Pradesh - 2018,17-Jan 6pm,14435.00
Uttar Pradesh - 2018,17-Jan 7pm,13991.78
Uttar Pradesh - 2018,17-Jan 8pm,13258.85
Uttar Pradesh - 2018,17-Jan 9pm,13127.12
Uttar Pradesh - 2018,17-Jan 10pm,12882.98
Uttar Pradesh - 2018,17-Jan 11pm,12623.51
Uttar Pradesh - 2018,18-Jan 12am,11511.16
Uttar Pradesh - 2018,18-Jan 1am,11209.92
Uttar Pradesh - 2018,18-Jan 2am,11078.59
Uttar Pradesh - 2018,18-Jan 3am,10987.40
Uttar Pradesh - 2018,18-Jan 4am,11118.23
Uttar Pradesh - 2018,18-Jan 5am,12011.91
Uttar Pradesh - 2018,18-Jan 6am,13309.41
Uttar Pradesh - 2018,18-Jan 7am,14044.34
Uttar Pradesh - 2018,18-Jan 8am,13742.15
Uttar Pradesh - 2018,18-Jan 9am,13544.94
Uttar Pradesh - 2018,18-Jan 10am,13526.12
Uttar Pradesh - 2018,18-Jan 11am,13277.58
Uttar Pradesh - 2018,18-Jan 12pm,12934.83
Uttar Pradesh - 2018,18-Jan 1pm,12409.44
Uttar Pradesh - 2018,18-Jan 2pm,12168.84
Uttar Pradesh - 2018,18-Jan 3pm,12465.22
Uttar Pradesh - 2018,18-Jan 4pm,12883.37
Uttar Pradesh - 2018,18-Jan 5pm,13203.88
Uttar Pradesh - 2018,18-Jan 6pm,14406.78
Uttar Pradesh - 2018,18-Jan 7pm,13845.21
Uttar Pradesh - 2018,18-Jan 8pm,13501.56
Uttar Pradesh - 2018,18-Jan 9pm,13276.82
Uttar Pradesh - 2018,18-Jan 10pm,12990.81
Uttar Pradesh - 2018,18-Jan 11pm,12629.23
Uttar Pradesh - 2018,19-Jan 12am,12095.37
Uttar Pradesh - 2018,19-Jan 1am,11655.63
