date,average_tmin
2018-01-31,9.785758097966513
2018-02-01,9.55469318230947
2018-02-02,10.336889624595642
2018-02-03,10.747548262278238
2018-02-04,10.189515590667725
2018-02-05,9.153736452261606
2018-02-06,10.509746154149374
2018-02-07,10.988775173823038
2018-02-08,8.291935861110687
2018-02-09,8.501878678798676
2018-02-10,7.807357549667358
2018-02-11,9.5793403784434
2018-02-12,12.659080664316813
2018-02-13,11.52282186349233
2018-02-14,10.931570192178091
2018-02-15,9.688980281352997
2018-02-16,10.458197951316833
2018-02-17,11.466482122739157
2018-02-18,11.292317668596903
2018-02-19,10.815567155679068
2018-02-20,10.927933096885681
2018-02-21,11.682427207628885
2018-02-22,13.226703842480978
2018-02-23,14.289576808611551
2018-02-24,15.679658015569052
2018-02-25,16.612220684687298
2018-02-26,15.082621812820435
2018-02-27,13.801984031995138
2018-02-28,14.639013528823853
2018-03-01,15.3332439661026
2018-03-02,15.978104909261068
2018-03-03,15.849581480026245
2018-03-04,16.033289353052776
2018-03-05,15.25209935506185
2018-03-06,13.969847917556763
2018-03-07,13.15250543753306
2018-03-08,13.545827627182007
2018-03-09,13.86677614847819
2018-03-10,15.053501884142557
2018-03-11,15.146068851153055
2018-03-12,15.163507978121439
2018-03-13,15.495320121447245
2018-03-14,15.902039686838785
2018-03-15,18.752036968866985
2018-03-16,16.166863401730854
2018-03-17,15.812070568402609
2018-03-18,14.37950607140859
2018-03-19,14.702235102653503
2018-03-20,16.361331184705097
2018-03-21,17.612928986549377
2018-03-22,17.206597487131756
2018-03-23,16.670803904533386
2018-03-24,16.775563915570576
2018-03-25,16.924956440925598
2018-03-26,16.668309569358826
2018-03-27,16.92464331785838
2018-03-28,17.372409264246624
2018-03-29,18.16739257176717
2018-03-30,18.28203046321869
2018-03-31,17.780585050582886
2018-04-01,19.181747158368427
2018-04-02,19.542145530382793
2018-04-03,20.419782956441242
2018-04-04,20.962855021158855
2018-04-05,21.075363953908283
2018-04-06,21.317315260569256
2018-04-07,19.9870787858963
2018-04-08,20.19009343783061
2018-04-09,20.985896190007526
2018-04-10,20.102832794189453
2018-04-11,21.013803323109943
2018-04-12,18.951391339302063
2018-04-13,19.057868083318073
2018-04-14,19.2563720146815
2018-04-15,20.562906503677368
2018-04-16,21.876901706059773
2018-04-17,22.79316322008769
2018-04-18,22.30479343732198
2018-04-19,21.927355527877808
2018-04-20,22.775495926539104
2018-04-21,22.207370400428772
2018-04-22,21.435665488243103
2018-04-23,19.76202094554901
2018-04-24,19.04053823153178
2018-04-25,20.31138563156128
2018-04-26,22.798105875651043
2018-04-27,23.337453603744507
2018-04-28,24.63709568977356
2018-04-29,24.290156682332356
2018-04-30,22.399789492289226
2018-05-01,23.40095583597819
2018-05-02,24.416745901107788
2018-05-03,20.242200136184692
2018-05-04,22.268459796905518
2018-05-05,23.987412850062054
2018-05-06,24.923075755437214
2018-05-07,24.22936741511027
2018-05-08,24.15744670232137
2018-05-09,22.77688753604889
2018-05-10,22.658239364624023
2018-05-11,23.582642157872517
2018-05-12,25.557681798934937
2018-05-13,26.481274048487347
2018-05-14,21.928733984629314
2018-05-15,24.1210040251414
2018-05-16,25.34091583887736
2018-05-17,24.98781394958496
2018-05-18,25.98039412498474
2018-05-19,25.869786580403645
2018-05-20,25.396564483642578
2018-05-21,25.743718306223553
2018-05-22,26.421264092127483
2018-05-23,27.32813302675883
2018-05-24,27.170381863911945
2018-05-25,25.852552970250446
2018-05-26,25.550718148549397
2018-05-27,26.646132310231526
2018-05-28,27.06753134727478
2018-05-29,26.16748301188151
2018-05-30,26.254724899927776
2018-05-31,26.48062793413798
2018-06-01,26.468150695164997
2018-06-02,24.455679019292194
2018-06-03,26.2373104095459
2018-06-04,28.06870444615682
2018-06-05,28.853688319524128
2018-06-06,27.92787790298462
2018-06-07,27.843029578526814
2018-06-08,28.33363954226176
2018-06-09,26.492957989374798
2018-06-10,25.32685462633769
2018-06-11,26.793003877003986
2018-06-12,28.240185737609863
2018-06-13,28.2084477742513
2018-06-14,27.863168478012085
2018-06-15,27.982506036758423
2018-06-16,27.85746963818868
2018-06-17,27.79758056004842
2018-06-18,27.111472924550373
2018-06-19,26.393991549809773
2018-06-20,27.864871104558308
2018-06-21,28.693249305089314
2018-06-22,29.308394988377888
2018-06-23,27.77952814102173
2018-06-24,28.096957604090374
2018-06-25,28.437891880671184
2018-06-26,26.887893279393513
2018-06-27,24.811397234598797
2018-06-28,24.74453552563985
2018-06-29,25.52134680747986
2018-06-30,25.915047645568848
2018-07-01,26.56057397524516
2018-07-02,25.99978764851888
2018-07-03,25.659247716267902
2018-07-04,25.163397153218586
2018-07-05,25.6217622756958
2018-07-06,26.122581561406452
2018-07-07,27.159955263137817
2018-07-08,27.75536521275838
2018-07-09,28.148065487543743
2018-07-10,27.285898844401043
2018-07-11,27.320113976796467
2018-07-12,25.717533588409424
2018-07-13,25.677056312561035
2018-07-14,25.44913061459859
2018-07-15,26.02231740951538
2018-07-16,26.820005575815838
2018-07-17,27.01834003130595
2018-07-18,26.759490092595417
2018-07-19,26.329652388890583
2018-07-20,25.867388168970745
2018-07-21,25.45850332578023
2018-07-22,25.384390592575073
2018-07-23,25.19706153869629
2018-07-24,25.674806197484333
2018-07-25,25.11526934305827
2018-07-26,24.313435633977253
2018-07-27,23.968921422958374
2018-07-28,24.22463123003642
